Epoch: 1 [0/60000(0.0%)]	Loss: 2.315663	Accuracy:0.00%
Epoch: 1 [500/60000(0.8%)]	Loss: 1.497993	Accuracy:42.00%
Epoch: 1 [1000/60000(1.7%)]	Loss: 0.574107	Accuracy:73.80%
Epoch: 1 [1500/60000(2.5%)]	Loss: 0.509843	Accuracy:79.40%
Epoch: 1 [2000/60000(3.3%)]	Loss: 0.144254	Accuracy:83.80%
Epoch: 1 [2500/60000(4.2%)]	Loss: 0.236420	Accuracy:87.00%
Epoch: 1 [3000/60000(5.0%)]	Loss: 0.242887	Accuracy:88.80%
Epoch: 1 [3500/60000(5.8%)]	Loss: 0.487015	Accuracy:90.60%
Epoch: 1 [4000/60000(6.7%)]	Loss: 0.369364	Accuracy:89.00%
Epoch: 1 [4500/60000(7.5%)]	Loss: 0.490680	Accuracy:91.80%
Epoch: 1 [5000/60000(8.3%)]	Loss: 0.232690	Accuracy:93.20%
Epoch: 1 [5500/60000(9.2%)]	Loss: 0.033491	Accuracy:93.20%
Epoch: 1 [6000/60000(10.0%)]	Loss: 0.145922	Accuracy:93.00%
Epoch: 1 [6500/60000(10.8%)]	Loss: 0.405937	Accuracy:94.60%
Epoch: 1 [7000/60000(11.7%)]	Loss: 0.035422	Accuracy:94.00%
Epoch: 1 [7500/60000(12.5%)]	Loss: 0.007479	Accuracy:95.40%
Epoch: 1 [8000/60000(13.3%)]	Loss: 0.317272	Accuracy:94.20%
Epoch: 1 [8500/60000(14.2%)]	Loss: 0.085574	Accuracy:94.20%
Epoch: 1 [9000/60000(15.0%)]	Loss: 0.138501	Accuracy:94.80%
Epoch: 1 [9500/60000(15.8%)]	Loss: 0.027882	Accuracy:94.60%
Epoch: 1 [10000/60000(16.7%)]	Loss: 0.019465	Accuracy:95.60%
Epoch: 1 [10500/60000(17.5%)]	Loss: 0.315174	Accuracy:92.80%
Epoch: 1 [11000/60000(18.3%)]	Loss: 0.078810	Accuracy:96.60%
Epoch: 1 [11500/60000(19.2%)]	Loss: 0.590062	Accuracy:95.80%
Epoch: 1 [12000/60000(20.0%)]	Loss: 0.119952	Accuracy:95.60%
Epoch: 1 [12500/60000(20.8%)]	Loss: 0.014894	Accuracy:96.20%
Epoch: 1 [13000/60000(21.7%)]	Loss: 1.031551	Accuracy:95.40%
Epoch: 1 [13500/60000(22.5%)]	Loss: 0.832585	Accuracy:96.60%
Epoch: 1 [14000/60000(23.3%)]	Loss: 0.019037	Accuracy:93.80%
Epoch: 1 [14500/60000(24.2%)]	Loss: 0.051036	Accuracy:96.80%
Epoch: 1 [15000/60000(25.0%)]	Loss: 0.030982	Accuracy:96.20%
Epoch: 1 [15500/60000(25.8%)]	Loss: 0.047781	Accuracy:96.40%
Epoch: 1 [16000/60000(26.7%)]	Loss: 0.045420	Accuracy:95.60%
Epoch: 1 [16500/60000(27.5%)]	Loss: 0.049918	Accuracy:97.00%
Epoch: 1 [17000/60000(28.3%)]	Loss: 0.016061	Accuracy:95.60%
Epoch: 1 [17500/60000(29.2%)]	Loss: 0.110715	Accuracy:96.20%
Epoch: 1 [18000/60000(30.0%)]	Loss: 0.065372	Accuracy:96.00%
Epoch: 1 [18500/60000(30.8%)]	Loss: 0.051182	Accuracy:94.80%
Epoch: 1 [19000/60000(31.7%)]	Loss: 0.056507	Accuracy:95.80%
Epoch: 1 [19500/60000(32.5%)]	Loss: 0.236265	Accuracy:95.20%
Epoch: 1 [20000/60000(33.3%)]	Loss: 0.138791	Accuracy:97.00%
Epoch: 1 [20500/60000(34.2%)]	Loss: 0.008986	Accuracy:97.20%
Epoch: 1 [21000/60000(35.0%)]	Loss: 0.175502	Accuracy:96.40%
Epoch: 1 [21500/60000(35.8%)]	Loss: 0.664607	Accuracy:95.80%
Epoch: 1 [22000/60000(36.7%)]	Loss: 0.013014	Accuracy:97.00%
Epoch: 1 [22500/60000(37.5%)]	Loss: 0.062837	Accuracy:97.80%
Epoch: 1 [23000/60000(38.3%)]	Loss: 0.047893	Accuracy:98.60%
Epoch: 1 [23500/60000(39.2%)]	Loss: 0.507760	Accuracy:97.20%
Epoch: 1 [24000/60000(40.0%)]	Loss: 0.005984	Accuracy:98.40%
Epoch: 1 [24500/60000(40.8%)]	Loss: 1.280874	Accuracy:97.00%
Epoch: 1 [25000/60000(41.7%)]	Loss: 0.011506	Accuracy:96.20%
Epoch: 1 [25500/60000(42.5%)]	Loss: 0.085588	Accuracy:96.60%
Epoch: 1 [26000/60000(43.3%)]	Loss: 0.008160	Accuracy:96.60%
Epoch: 1 [26500/60000(44.2%)]	Loss: 0.016810	Accuracy:97.00%
Epoch: 1 [27000/60000(45.0%)]	Loss: 0.001038	Accuracy:96.80%
Epoch: 1 [27500/60000(45.8%)]	Loss: 0.162142	Accuracy:97.00%
Epoch: 1 [28000/60000(46.7%)]	Loss: 0.005539	Accuracy:97.40%
Epoch: 1 [28500/60000(47.5%)]	Loss: 0.011019	Accuracy:97.20%
Epoch: 1 [29000/60000(48.3%)]	Loss: 0.135290	Accuracy:96.20%
Epoch: 1 [29500/60000(49.2%)]	Loss: 0.004672	Accuracy:96.80%
